"hpp","item_center","fit","std_error"
0.9,"Novel",6611.14838584923,607.904114440145
1,"Novel",6633.48941731903,583.59988294342
1.1,"Novel",6655.83044878883,563.344190562888
1.2,"Novel",6678.17148025863,547.58649852001
1.3,"Novel",6700.51251172843,536.723124462624
1.4,"Novel",6722.85354319822,531.054511284392
1.5,"Novel",6745.19457466802,530.747132096966
1.6,"Novel",6767.53560613782,535.810213745381
1.7,"Novel",6789.87663760762,546.094400932343
1.8,"Novel",6812.21766907742,561.31278887667
1.9,"Novel",6834.55870054722,581.077827691285
2,"Novel",6856.89973201702,604.944029942776
2.1,"Novel",6879.24076348682,632.447278074194
2.2,"Novel",6901.58179495662,663.135191627299
2.3,"Novel",6923.92282642642,696.586999488764
2.4,"Novel",6946.26385789622,732.424095719147
2.5,"Novel",6968.60488936601,770.313641820219
2.6,"Novel",6990.94592083581,809.967653804591
2.7,"Novel",7013.28695230561,851.139551599011
2.8,"Novel",7035.62798377541,893.619558332115
2.9,"Novel",7057.96901524521,937.229820493496
3,"Novel",7080.31004671501,981.819739291242
3.1,"Novel",7102.65107818481,1027.26175201486
3.2,"Novel",7124.99210965461,1073.44764962919
3.3,"Novel",7147.33314112441,1120.28543170358
3.4,"Novel",7169.67417259421,1167.6966571551
3.5,"Novel",7192.01520406401,1215.61423174714
3.6,"Novel",7214.3562355338,1263.98056961816
3.7,"Novel",7236.6972670036,1312.74606949302
3.8,"Novel",7259.0382984734,1361.86785269994
3.9,"Novel",7281.3793299432,1411.30871750897
4,"Novel",7303.720361413,1461.03627150975
4.1,"Novel",7326.0613928828,1511.02221024991
4.2,"Novel",7348.4024243526,1561.24171598153
4.3,"Novel",7370.7434558224,1611.67295510736
4.4,"Novel",7393.0844872922,1662.29665685132
4.5,"Novel",7415.425518762,1713.09575890688
4.6,"Novel",7437.7665502318,1764.05510844799
4.7,"Novel",7460.1075817016,1815.16120902504
4.8,"Novel",7482.44861317139,1866.40200560011
4.9,"Novel",7504.78964464119,1917.76670137898
5,"Novel",7527.13067611099,1969.24560123389
5.1,"Novel",7549.47170758079,2020.8299774328
5.2,"Novel",7571.81273905059,2072.51195414024
5.3,"Novel",7594.15377052039,2124.2844077638
5.4,"Novel",7616.49480199019,2176.14088071835
5.5,"Novel",7638.83583345999,2228.07550658634
5.6,"Novel",7661.17686492979,2280.08294498629
5.7,"Novel",7683.51789639959,2332.15832473608
5.8,"Novel",7705.85892786939,2384.29719412353
5.9,"Novel",7728.19995933918,2436.49547728411
6,"Novel",7750.54099080898,2488.74943584074
6.1,"Novel",7772.88202227878,2541.05563508954
0.9,"Novel",5700.02640247327,700.178138219065
1,"Novel",5819.31702601468,662.751466977525
1.1,"Novel",5938.60764955609,631.346510629384
1.2,"Novel",6057.8982730975,606.89880025341
1.3,"Novel",6177.18889663891,590.273427130385
1.4,"Novel",6296.47952018032,582.140972244322
1.5,"Novel",6415.77014372173,582.857042607337
1.6,"Novel",6535.06076726314,592.389551250247
1.7,"Novel",6654.35139080455,610.325533224737
1.8,"Novel",6773.64201434596,635.95436970253
1.9,"Novel",6892.93263788737,668.391720433098
2,"Novel",7012.22326142878,706.700680136494
2.1,"Novel",7131.51388497019,749.982025404171
2.2,"Novel",7250.8045085116,797.426519069559
2.3,"Novel",7370.09513205301,848.3359570144
2.4,"Novel",7489.38575559442,902.12391963287
2.5,"Novel",7608.67637913583,958.305830383026
2.6,"Novel",7727.96700267724,1016.48482058539
2.7,"Novel",7847.25762621865,1076.33709597739
2.8,"Novel",7966.54824976007,1137.59857842546
2.9,"Novel",8085.83887330147,1200.05347166546
3,"Novel",8205.12949684288,1263.5248204286
3.1,"Novel",8324.4201203843,1327.86687457139
3.2,"Novel",8443.71074392571,1392.9589832766
3.3,"Novel",8563.00136746712,1458.70074016573
3.4,"Novel",8682.29199100853,1525.00813027052
3.5,"Novel",8801.58261454994,1591.81047024589
3.6,"Novel",8920.87323809135,1659.04797300735
3.7,"Novel",9040.16386163276,1726.66980284512
3.8,"Novel",9159.45448517417,1794.63251590312
3.9,"Novel",9278.74510871558,1862.89880400905
4,"Novel",9398.03573225699,1931.43647800855
4.1,"Novel",9517.3263557984,2000.21764089508
4.2,"Novel",9636.61697933981,2069.21801197355
4.3,"Novel",9755.90760288122,2138.41637174937
4.4,"Novel",9875.19822642263,2207.79410376462
4.5,"Novel",9994.48884996404,2277.3348146533
4.6,"Novel",10113.7794735055,2347.02401760363
4.7,"Novel",10233.0700970469,2416.84886746081
4.8,"Novel",10352.3607205883,2486.79793808164
4.9,"Novel",10471.6513441297,2556.86103441497
5,"Novel",10590.9419676711,2627.0290332492
5.1,"Novel",10710.2325912125,2697.29374772585
5.2,"Novel",10829.5232147539,2767.64781163893
5.3,"Novel",10948.8138382953,2838.08458027253
5.4,"Novel",11068.1044618367,2908.59804511618
5.5,"Novel",11187.3950853781,2979.1827602698
5.6,"Novel",11306.6857089196,3049.83377873057
5.7,"Novel",11425.976332461,3120.5465970636
5.8,"Novel",11545.2669560024,3191.31710720928
5.9,"Novel",11664.5575795438,3262.14155438572
6,"Novel",11783.8482030852,3333.01650021353
6.1,"Novel",11903.1388266266,3403.93879032853
