"term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"(Intercept)",6410.07910262104,942.265691026912,4440.8,8375.8,"[4440.8, 8375.8]",42.833078344612,1,18.2361477416945,3.53039733811947e-06
"item_center",-1783.66831202046,726.685149414193,-3289.2,-227,"[-3289.2, -227]",6.02470274160622,1,77.9999999999983,0.0163344768082563
"hpp",223.410314697991,535.090770386989,-799.8,1311.7,"[-799.8, 1311.7]",0.161023688661641,1,76.9458198399182,0.689328017497315
"item_center:hpp",969.495920716112,481.78756267806,-62.8,1950.9,"[-62.8, 1950.9]",4.04930792171006,1,77.9999999999983,0.0476416014546136
