"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p","Estimate_bayesian","SE_bayesian","ci.low_bayesian","ci.upp_bayesian"
"(Intercept)",7729.06937926584,1,6.35078310920687,8.78190974947219,0.0983450544710956,8.57850280444686,8.96722506774918,"8.58, 8.97",4.84692878469597e-11,8.86371978439012,0.188487498408679,8.359030329533,9.21829214699783
"ItemCenter",11.634511483177,1,100,-0.201657052239909,0.0591206687824591,-0.312382036338656,-0.0923859029491985,"-0.31, -0.09",0.000935218773099261,NA,NA,NA,NA
"HPP",0.784421219169089,1,99.089252096813,-0.0277951823788232,0.0304859387120646,-0.0917563639275871,0.0370311398754117,"-0.09, 0.04",0.377936676031866,-0.200838260157532,0.060546768471809,-0.319721606666771,-0.083666939993557
"ItemCenter:HPP",14.2118043712481,1,100,0.104384870798514,0.027689361905962,0.0476459377148567,0.155209822800472,"0.05, 0.16",0.000276548302224677,NA,NA,NA,NA
