"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Novel",6029.5,0.5,0,5909.80955022364,119.690449776361,0.0848066319116771
"baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",8689,-0.5,-1,8290.78887020844,398.211129791556,0.282152375318715
"baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",7587.33,0.5,0,7559.12731481526,28.202685184744,0.0199830040396079
"baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",6477.67,-0.5,-1,6735.70106951883,-258.031069518828,-0.182827836100099
"baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5708,0.5,0,6004.03951412564,-296.03951412564,-0.209758708006154
"baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",4452.5,-0.5,-1,6525.53578085312,-2073.03578085312,-1.4688488742004
"baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7180.33,0.5,0,5793.87422545994,1386.45577454006,0.982372818825023
"baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",13596.67,-0.5,-1,10606.321166923,2990.34883307698,2.11881075932225
"baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",8770.67,0.5,0,9874.65961152984,-1103.98961152984,-0.782231504637704
"baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",9924.17,-0.5,-1,7812.6175999632,2111.5524000368,1.49613981304887
"baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5094.33,0.5,0,7080.95604457001,-1986.62604457001,-1.4076232817472
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",8213.83,-0.5,-1,6923.00408525668,1290.82591474332,0.914614310650804
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6076.66,0.5,0,6858.45554840399,-781.795548403995,-0.553940998864724
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3963.33,-0.5,-1,6318.76309225189,-2355.43309225189,-1.66894140359929
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7730.33,0.5,0,5587.1015368587,2143.2284631413,1.51858387796076
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7185.5,-0.5,-1,6778.50061159742,406.99938840258,0.288379293293895
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5717.5,0.5,0,6046.83905620423,-329.339056204232,-0.233353088453075
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4622,-0.5,-1,6198.44760818813,-1576.44760818813,-1.11699147497113
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",6755.17,0.5,0,5466.78605279494,1288.38394720506,0.912884055291709
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3221,-0.5,-1,4085.71566491156,-864.715664911562,-0.612694022283636
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3606,0.5,0,4021.16712805888,-415.16712805888,-0.294166542751779
"baby28","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",5842.83,-0.5,-1,5572.15610927021,270.673890729791,0.191785903237174
"baby28","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",6909,0.5,0,6841.83360949854,67.1663905014611,0.047590725632133
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3823.33,-0.5,-1,4675.8593200664,-852.529320066404,-0.604059391337197
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3548.67,0.5,0,3944.19776467322,-395.527764673215,-0.280251077777425
"baby31","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",3233.33,-0.5,-1,4196.81733802818,-963.48733802818,-0.682678661333391
"baby31","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",5900.67,0.5,0,5466.49483825651,434.17516174349,0.307634679257804
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3990.25,-0.5,-1,5013.10554570887,-1022.85554570887,-0.724743986891444
