"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p","Estimate_bayesian","SE_bayesian","ci.low_bayesian","ci.upp_bayesian"
"(Intercept)",11246.526632395,1,101.015596915568,8.91919918834072,0.080052822208649,8.7596580319094,9.07903099048485,"8.76, 9.08",2.15604933352575e-105,8.86371978439012,0.188487498408679,8.359030329533,9.21829214699783
"Item",10.0204115220177,1,98,-0.205627193111102,0.064958766340617,-0.32880705999753,-0.0744952629536843,"-0.33, -0.07",0.00206323580042696,-0.0786227020207134,0.0345112956303419,-0.146231026737552,-0.0110172458498883
"HPP",2.80353430730311,1,9.85646384244565,-0.090650232970782,0.0509777371664426,-0.204621107295712,0.0171184498846562,"-0.2, 0.02",0.125441904209252,-0.200838260157532,0.060546768471809,-0.319721606666771,-0.083666939993557
"Item:HPP",10.986463254943,1,98,0.10712135059186,0.0323181941695374,0.0450504825151312,0.167294243822379,"0.05, 0.17",0.00128734292151501,0.103781390515394,0.0282681178298189,0.0487224672585711,0.15903616832865
