"HPP","predicted","std.error","conf.low","conf.high","Item"
1,7110.27223602415,560.129214173542,6012.43914955529,8208.10532249301,"Familiar"
1,6345.37737602415,560.129214173543,5247.54428955528,7443.21046249302,"Novel"
2,6609.48350868677,515.114276771546,5599.87807829215,7619.0889390814,"Familiar"
2,6570.80822368677,515.114276771547,5561.20279329215,7580.4136540814,"Novel"
3,6108.6947813494,610.150426932092,4912.82191941076,7304.56764328804,"Familiar"
3,6796.2390713494,610.150426932091,5600.36620941076,7992.11193328804,"Novel"
4,5607.90605401202,796.597271289133,4046.60409210244,7169.20801592161,"Familiar"
4,7021.66991901203,796.597271289131,5460.36795710245,8582.97188092161,"Novel"
