"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Familiar",5160.83,-0.5,-1,6017.77263543577,-856.942635435772,-0.58806282425164
"baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Novel",6029.5,0.5,0,5923.69420389331,105.805796106694,0.0726074916894006
"baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Familiar",8689,-0.5,-1,8277.96719977007,411.032800229932,0.282064515602445
"baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",7587.33,0.5,0,7555.9650983836,31.3649016163972,0.0215236491501371
"baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",6477.67,-0.5,-1,6728.58389581593,-250.913895815926,-0.17218554441799
"baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5708,0.5,0,6006.58179442946,-298.58179442946,-0.204896857784445
"baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",4452.5,-0.5,-1,6519.18955217504,-2066.68955217504,-1.41823179831097
"baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7180.33,0.5,0,5797.18745078858,1383.14254921142,0.949158882050798
"baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",13596.67,-0.5,-1,10585.0054767762,3011.66452322384,2.06670536858616
"baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",8770.67,0.5,0,9863.00337538969,-1092.33337538969,-0.749595857637934
"baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",9924.17,-0.5,-1,7801.54999540387,2122.62000459613,1.45661315366936
"baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5094.33,0.5,0,7079.5478940174,-1985.2178940174,-1.36232320955428
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",8213.83,-0.5,-1,6950.89398100005,1262.93601899995,0.866669122845733
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6076.66,0.5,0,6856.81554945759,-780.155549457588,-0.535368946296295
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3963.33,-0.5,-1,6301.13060966675,-2337.80060966675,-1.6042773135669
