"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","HPPCenter"
"baby55547","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",8770.67,9.07916847925544,-0.872549019607843
"baby56526","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Familiar",9924.17,9.20272847485441,-0.872549019607843
"baby56526","Barcelona","Santolin, Saffran & Sebastian-Galles (2019)",0,1,1,"Novel",5094.33,8.53588343553772,-0.872549019607843
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",8213.83,9.01357459793028,0.127450980392157
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6076.66,8.71221048191129,0.127450980392157
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3963.33,8.28483985997347,-0.872549019607843
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7730.33,8.95290683148525,-0.872549019607843
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",7185.5,8.8798203855143,-0.872549019607843
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5717.5,8.65128692589694,-0.872549019607843
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4622,8.43858279083433,-0.872549019607843
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",6755.17,8.81806341662093,-0.872549019607843
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3221,8.0774471493312,0.127450980392157
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3606,8.19035440376326,0.127450980392157
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3823.33,8.24887704961534,-0.872549019607843
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3548.67,8.17432816438408,-0.872549019607843
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3990.25,8.29160916456267,0.127450980392157
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5276.25,8.57097089709671,0.127450980392157
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9794.33,9.18955892579306,0.127450980392157
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9246.33,9.13198199502093,0.127450980392157
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5418.5,8.59757430336305,0.127450980392157
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",7200.5,8.88190574703744,0.127450980392157
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9212.5,9.12831653649759,0.127450980392157
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",13688.17,9.52428723513255,0.127450980392157
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3677.67,8.21003467846358,0.127450980392157
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3126.33,8.04761507162851,0.127450980392157
"baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5487.83,8.61028819224955,0.127450980392157
"baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",4278,8.36124088964235,0.127450980392157
"baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5046,8.526351129201,-0.872549019607843
"baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4976.67,8.51251627165727,-0.872549019607843
"baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",6400.83,8.76418294843907,0.127450980392157
"baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",5990.33,8.6979017814117,0.127450980392157
"baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9978.5,9.20818805740804,0.127450980392157
"baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",12574.17,9.43939998881344,0.127450980392157
"baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3295.67,8.10036476465766,0.127450980392157
"baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5736.33,8.65457491200534,0.127450980392157
"baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5031.5,8.52347342937339,0.127450980392157
"baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",9209.67,9.12800929798853,0.127450980392157
"baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4039.33,8.3038341156178,-0.872549019607843
"baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4202.83,8.34351338688755,-0.872549019607843
"baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5223.17,8.56085977625048,0.127450980392157
"baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3526.83,8.16815472947135,0.127450980392157
"baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7439.83,8.91460327810372,0.127450980392157
"baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6834.83,8.82978687686629,0.127450980392157
"baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4049,8.30622521603216,-0.872549019607843
"baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4063.67,8.30984178517395,-0.872549019607843
"baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5295.83,8.57467499740375,-0.872549019607843
"baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5165.67,8.5497900924052,-0.872549019607843
"baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7692.5,8.9480011071962,0.127450980392157
"baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",12255.67,9.4137439660304,0.127450980392157
"baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4299.67,8.36629355455062,-0.872549019607843
"baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4074,8.31238059678675,-0.872549019607843
"SS2F1.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",7067,8.86319134069085,1.12745098039216
"SS2F1.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",7583.5,8.93373011349145,1.12745098039216
"SS2F11.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",6765,8.81951754060489,0.127450980392157
"SS2F11.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7326.5,8.89925319107808,0.127450980392157
"SS2F12.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",11010,9.30655922971673,-0.872549019607843
"SS2F12.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",9173,9.12401966550966,-0.872549019607843
"SS2F12.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7725,8.95221710176595,-0.872549019607843
"SS2F12.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",6292.5,8.74711372700947,-0.872549019607843
"SS2F13.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",4980,8.5131851700187,0.127450980392157
"SS2F13.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7354,8.90299966186122,0.127450980392157
"SS2F14.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",5420,8.59785109443369,1.12745098039216
"SS2F14.A","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",5339,8.58279364850019,1.12745098039216
"SS2F14.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",10073.5,9.21766349235596,0.127450980392157
"SS2F14.B","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",9777,9.18778796750567,0.127450980392157
"SS2F15.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Familiar",9707,9.18060255371223,0.127450980392157
"SS2F15.A","Wisconsin","Saffran & Wilson (2003)",1,2,2,"Novel",7675,8.9457235724554,0.127450980392157
"SS2F15.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Familiar",6853.5,8.83251474967144,1.12745098039216
"SS2F15.B","Wisconsin","Saffran & Wilson (2003)",2,3,3,"Novel",10391,9.24869532585265,1.12745098039216
"SS2F18.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",7505,8.92332474406756,-0.872549019607843
"SS2F18.A","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7796.5,8.96143019402494,-0.872549019607843
"SS2F19.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",8667.5,9.06733567755918,-0.872549019607843
"SS2F19.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",7565,8.93128762622246,-0.872549019607843
"SS2F20.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Familiar",11800,9.37585481045376,-0.872549019607843
"SS2F20.B","Wisconsin","Saffran & Wilson (2003)",0,1,1,"Novel",8537.5,9.05222350387904,-0.872549019607843
