"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","HPPCenter","Study2"
"baby39","Wisconsin","Santolin",1,2,2,"Novel",5276.25,0.340425531914894,"Santolin & Saffran (2019)"
"baby49","Wisconsin","Santolin",1,2,2,"Familiar",9794.33,0.340425531914894,"Santolin & Saffran (2019)"
"baby49","Wisconsin","Santolin",1,2,2,"Novel",9246.33,0.340425531914894,"Santolin & Saffran (2019)"
"baby53","Wisconsin","Santolin",1,2,2,"Familiar",5418.5,0.340425531914894,"Santolin & Saffran (2019)"
"baby53","Wisconsin","Santolin",1,2,2,"Novel",7200.5,0.340425531914894,"Santolin & Saffran (2019)"
"baby54","Wisconsin","Santolin",1,2,2,"Familiar",9212.5,0.340425531914894,"Santolin & Saffran (2019)"
"baby54","Wisconsin","Santolin",1,2,2,"Novel",13688.17,0.340425531914894,"Santolin & Saffran (2019)"
"baby58","Wisconsin","Santolin",1,2,2,"Familiar",3677.67,0.340425531914894,"Santolin & Saffran (2019)"
"baby58","Wisconsin","Santolin",1,2,2,"Novel",3126.33,0.340425531914894,"Santolin & Saffran (2019)"
"baby67","Wisconsin","Santolin",1,2,3,"Familiar",5487.83,0.340425531914894,"Santolin & Saffran (2019)"
"baby67","Wisconsin","Santolin",1,2,3,"Novel",4278,0.340425531914894,"Santolin & Saffran (2019)"
"baby70","Wisconsin","Santolin",0,1,1,"Familiar",5046,-0.659574468085106,"Santolin & Saffran (2019)"
"baby70","Wisconsin","Santolin",0,1,1,"Novel",4976.67,-0.659574468085106,"Santolin & Saffran (2019)"
"baby71","Wisconsin","Santolin",1,2,3,"Familiar",6400.83,0.340425531914894,"Santolin & Saffran (2019)"
"baby71","Wisconsin","Santolin",1,2,3,"Novel",5990.33,0.340425531914894,"Santolin & Saffran (2019)"
"baby74","Wisconsin","Santolin",1,2,2,"Familiar",9978.5,0.340425531914894,"Santolin & Saffran (2019)"
"baby74","Wisconsin","Santolin",1,2,2,"Novel",12574.17,0.340425531914894,"Santolin & Saffran (2019)"
"baby78","Wisconsin","Santolin",1,2,2,"Familiar",3295.67,0.340425531914894,"Santolin & Saffran (2019)"
"baby78","Wisconsin","Santolin",1,2,2,"Novel",5736.33,0.340425531914894,"Santolin & Saffran (2019)"
"baby79","Wisconsin","Santolin",1,2,3,"Familiar",5031.5,0.340425531914894,"Santolin & Saffran (2019)"
"baby79","Wisconsin","Santolin",1,2,3,"Novel",9209.67,0.340425531914894,"Santolin & Saffran (2019)"
"baby84","Wisconsin","Santolin",0,1,1,"Familiar",4039.33,-0.659574468085106,"Santolin & Saffran (2019)"
"baby84","Wisconsin","Santolin",0,1,1,"Novel",4202.83,-0.659574468085106,"Santolin & Saffran (2019)"
"baby86","Wisconsin","Santolin",1,2,2,"Familiar",5223.17,0.340425531914894,"Santolin & Saffran (2019)"
"baby86","Wisconsin","Santolin",1,2,2,"Novel",3526.83,0.340425531914894,"Santolin & Saffran (2019)"
"baby88","Wisconsin","Santolin",1,2,2,"Familiar",7439.83,0.340425531914894,"Santolin & Saffran (2019)"
"baby88","Wisconsin","Santolin",1,2,2,"Novel",6834.83,0.340425531914894,"Santolin & Saffran (2019)"
"baby93","Wisconsin","Santolin",0,1,1,"Familiar",4049,-0.659574468085106,"Santolin & Saffran (2019)"
"baby93","Wisconsin","Santolin",0,1,1,"Novel",4063.67,-0.659574468085106,"Santolin & Saffran (2019)"
"baby94","Wisconsin","Santolin",0,1,1,"Familiar",5295.83,-0.659574468085106,"Santolin & Saffran (2019)"
"baby94","Wisconsin","Santolin",0,1,1,"Novel",5165.67,-0.659574468085106,"Santolin & Saffran (2019)"
"baby97","Wisconsin","Santolin",1,2,2,"Familiar",7692.5,0.340425531914894,"Santolin & Saffran (2019)"
"baby97","Wisconsin","Santolin",1,2,2,"Novel",12255.67,0.340425531914894,"Santolin & Saffran (2019)"
"baby98","Wisconsin","Santolin",0,1,1,"Familiar",4299.67,-0.659574468085106,"Santolin & Saffran (2019)"
"baby98","Wisconsin","Santolin",0,1,1,"Novel",4074,-0.659574468085106,"Santolin & Saffran (2019)"
"SS2F1.B","Wisconsin","Saffran & Wilson",2,3,3,"Familiar",7067,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F1.B","Wisconsin","Saffran & Wilson",2,3,3,"Novel",7583.5,1.34042553191489,"Saffran & Wilson (2003)"
"SS2F11.A","Wisconsin","Saffran & Wilson",1,2,2,"Familiar",6765,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F11.A","Wisconsin","Saffran & Wilson",1,2,2,"Novel",7326.5,0.340425531914894,"Saffran & Wilson (2003)"
"SS2F12.A","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",11010,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F12.A","Wisconsin","Saffran & Wilson",0,1,1,"Novel",9173,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F12.B","Wisconsin","Saffran & Wilson",0,1,1,"Familiar",7725,-0.659574468085106,"Saffran & Wilson (2003)"
"SS2F12.B","Wisconsin","Saffran & Wilson",0,1,1,"Novel",6292.5,-0.659574468085106,"Saffran & Wilson (2003)"
