"hpp","item_novel","fit","std_error"
0.9,"Novel",6328.98962396349,582.794879489757
1,"Novel",6352.19814397868,566.278442206143
1.1,"Novel",6375.40666399388,551.707218340576
1.2,"Novel",6398.61518400908,539.238920650689
1.3,"Novel",6421.82370402427,529.022258920822
1.4,"Novel",6445.03222403947,521.189663593402
1.5,"Novel",6468.24074405466,515.849744163222
1.6,"Novel",6491.44926406986,513.080334629641
1.7,"Novel",6514.65778408506,512.923073304187
1.8,"Novel",6537.86630410025,515.380351377217
1.9,"Novel",6561.07482411545,520.415134443014
2,"Novel",6584.28334413064,527.953687213871
2.1,"Novel",6607.49186414584,537.890748797418
2.2,"Novel",6630.70038416104,550.096352973475
2.3,"Novel",6653.90890417623,564.423347835056
2.4,"Novel",6677.11742419143,580.714742125333
2.5,"Novel",6700.32594420663,598.810225343385
2.6,"Novel",6723.53446422182,618.551483987909
2.7,"Novel",6746.74298423702,639.786189930072
2.8,"Novel",6769.95150425221,662.370725063069
2.9,"Novel",6793.16002426741,686.171818227518
3,"Novel",6816.36854428261,711.067316751715
3.1,"Novel",6839.5770642978,736.946315472882
3.2,"Novel",6862.785584313,763.708840422429
3.3,"Novel",6885.99410432819,791.265247627768
3.4,"Novel",6909.20262434339,819.535459502051
3.5,"Novel",6932.41114435859,848.44812733177
3.6,"Novel",6955.61966437378,877.93978055336
3.7,"Novel",6978.82818438898,907.95400208222
3.8,"Novel",7002.03670440417,938.440653227418
3.9,"Novel",7025.24522441937,969.355160648785
4,"Novel",7048.45374443457,1000.65787032167
4.1,"Novel",7071.66226444976,1032.31346862797
4.2,"Novel",7094.87078446496,1064.29046772884
4.3,"Novel",7118.07930448016,1096.56075071105
4.4,"Novel",7141.28782449535,1129.09917120474
4.5,"Novel",7164.49634451055,1161.88320193737
4.6,"Novel",7187.70486452574,1194.8926268025
4.7,"Novel",7210.91338454094,1228.10927133682
4.8,"Novel",7234.12190455614,1261.51676691738
4.9,"Novel",7257.33042457133,1295.10034445122
5,"Novel",7280.53894458653,1328.84665379245
5.1,"Novel",7303.74746460172,1362.74360556447
5.2,"Novel",7326.95598461692,1396.78023247469
5.3,"Novel",7350.16450463212,1430.94656758071
5.4,"Novel",7373.37302464731,1465.2335372983
5.5,"Novel",7396.58154466251,1499.63286723456
5.6,"Novel",7419.79006467771,1534.13699918564
5.7,"Novel",7442.9985846929,1568.73901786252
5.8,"Novel",7466.2071047081,1603.43258610143
5.9,"Novel",7489.41562472329,1638.21188748383
6,"Novel",7512.62414473849,1673.07157543499
6.1,"Novel",7535.83266475369,1708.00672799536
0.9,"Familiar",5544.1951555926,727.880255277381
1,"Familiar",5630.1960425922,697.340401976974
1.1,"Familiar",5716.1969295918,670.003912511627
1.2,"Familiar",5802.1978165914,646.277406132308
1.3,"Familiar",5888.198703591,626.571117207025
1.4,"Familiar",5974.1995905906,611.273981536717
1.5,"Familiar",6060.20047759019,600.722924844873
1.6,"Familiar",6146.20136458979,595.170413166973
1.7,"Familiar",6232.20225158939,594.756458837774
1.8,"Familiar",6318.20313858899,599.491706609765
1.9,"Familiar",6404.20402558859,609.256106742695
2,"Familiar",6490.20491258819,623.813543662994
2.1,"Familiar",6576.20579958778,642.838476801315
2.2,"Familiar",6662.20668658738,665.948131313411
2.3,"Familiar",6748.20757358698,692.733827879187
2.4,"Familiar",6834.20846058658,722.786991665743
2.5,"Familiar",6920.20934758618,755.717904180532
2.6,"Familiar",7006.21023458578,791.167303685861
2.7,"Familiar",7092.21112158537,828.812096007793
2.8,"Familiar",7178.21200858497,868.366808958544
2.9,"Familiar",7264.21289558457,909.582308346856
3,"Familiar",7350.21378258417,952.242969393359
3.1,"Familiar",7436.21466958377,996.163142364396
3.2,"Familiar",7522.21555658337,1041.18344973221
3.3,"Familiar",7608.21644358297,1087.16722822755
3.4,"Familiar",7694.21733058256,1133.99727716269
3.5,"Familiar",7780.21821758216,1181.57297846455
3.6,"Familiar",7866.21910458176,1229.80779742507
3.7,"Familiar",7952.21999158136,1278.62714272854
3.8,"Familiar",8038.22087858096,1327.96655002358
3.9,"Familiar",8124.22176558056,1377.77014853191
4,"Familiar",8210.22265258015,1427.9893706658
4.1,"Familiar",8296.22353957975,1478.58186774629
4.2,"Familiar",8382.22442657935,1529.51059913504
4.3,"Familiar",8468.22531357895,1580.74306655114
4.4,"Familiar",8554.22620057855,1632.2506695901
4.5,"Familiar",8640.22708757815,1684.00816228719
4.6,"Familiar",8726.22797457775,1735.99319390001
4.7,"Familiar",8812.22886157734,1788.18591992812
4.8,"Familiar",8898.22974857694,1840.56867177944
4.9,"Familiar",8984.23063557654,1893.12567548682
5,"Familiar",9070.23152257614,1945.84281153018
5.1,"Familiar",9156.23240957574,1998.7074091834
5.2,"Familiar",9242.23329657534,2051.70806992865
5.3,"Familiar",9328.23418357494,2104.83451540514
5.4,"Familiar",9414.23507057453,2158.0774561206
5.5,"Familiar",9500.23595757413,2211.42847777989
5.6,"Familiar",9586.23684457373,2264.87994260193
5.7,"Familiar",9672.23773157333,2318.42490342257
5.8,"Familiar",9758.23861857293,2372.05702873351
5.9,"Familiar",9844.23950557252,2425.77053710011
6,"Familiar",9930.24039257212,2479.56013964303
6.1,"Familiar",10016.2412795717,2533.42098947153
