"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Novel",5160.83,-0.5,-1,6017.77263540694,-856.942635406939,-0.588062824238898
"baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Familiar",6029.5,0.5,0,5923.69420386448,105.80579613552,0.0726074917100513
"baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",8689,-0.5,-1,8277.96719977639,411.032800223606,0.282064515601483
"baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Familiar",7587.33,0.5,0,7555.96509838991,31.3649016100871,0.0215236491460647
"baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",6477.67,-0.5,-1,6728.58389579471,-250.913895794705,-0.17218554440549
"baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",5708,0.5,0,6006.58179440822,-298.581794408224,-0.204896857772326
"baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",4452.5,-0.5,-1,6519.1895521501,-2066.6895521501,-1.41823179831084
"baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",7180.33,0.5,0,5797.18745076362,1383.14254923638,0.949158882079295
"baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",13596.67,-0.5,-1,10585.0054768235,3011.6645231765,2.06670536857843
"baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",8770.67,0.5,0,9863.00337543702,-1092.33337543702,-0.749595857679388
"baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",9924.17,-0.5,-1,7801.54999540172,2122.62000459828,1.45661315368828
"baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",5094.33,0.5,0,7079.54789401524,-1985.21789401524,-1.36232320956912
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",8213.83,-0.5,-1,6950.89398102048,1262.93601897952,0.866669122842098
"baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",6076.66,0.5,0,6856.81554947802,-780.15554947802,-0.535368946316728
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3963.33,-0.5,-1,6301.1306096706,-2337.8006096706,-1.60427731358875
"baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",7730.33,0.5,0,5579.12850828412,2151.20149171588,1.47622673030457
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7185.5,-0.5,-1,6759.18168329618,426.318316703816,0.292553950506345
"baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5717.5,0.5,0,6037.1795819097,-319.679581909702,-0.219374868307325
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4622,-0.5,-1,6181.25647643118,-1559.25647643118,-1.07001417522829
"baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",6755.17,0.5,0,5459.2543750447,1295.9156249553,0.889300836367696
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3221,-0.5,-1,4124.01352763782,-903.013527637823,-0.619678218176713
"baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3606,0.5,0,4029.93509609536,-423.935096095364,-0.29091850446377
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3823.33,-0.5,-1,4664.2534677215,-840.923467721504,-0.577069933230995
"baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3548.67,0.5,0,3942.25136633502,-393.581366335022,-0.270088755409944
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3990.25,-0.5,-1,5048.00148314215,-1057.75148314215,-0.725864601455001
"baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5276.25,0.5,0,4953.92305159969,322.326948400309,0.221191580127857
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9794.33,-0.5,-1,8750.07408620514,1044.25591379486,0.716603488403586
"baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9246.33,0.5,0,8655.99565466268,590.334345337316,0.405107259250124
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5418.5,-0.5,-1,6317.79841727958,-899.298417279578,-0.617128784644804
"baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",7200.5,0.5,0,6223.71998573712,976.780014262881,0.670299259383646
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9212.5,-0.5,-1,10212.0961186406,-999.596118640582,-0.685956436683628
"baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",13688.17,0.5,0,10118.0176870981,3570.15231290188,2.4499584515259
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3677.67,-0.5,-1,4115.30201996141,-437.632019961415,-0.300317793750187
"baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3126.33,0.5,0,4021.22358841896,-894.893588418955,-0.614106043106408
"baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",5487.83,-0.5,-1,5237.12831479699,250.701685203013,0.172039918368544
"baby67","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",4278,0.5,0,5143.04988325453,-865.049883254528,-0.593626290063882
"baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5046,-0.5,-1,5668.22442653136,-622.224426531364,-0.426991304269396
"baby70","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4976.67,0.5,0,4946.22232514488,30.4476748551178,0.0208942173338191
"baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",6400.83,-0.5,-1,6231.50146471466,169.328535285335,0.116198929274705
"baby71","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",5990.33,0.5,0,6137.42303317221,-147.093033172206,-0.100940180753215
"baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9978.5,-0.5,-1,10080.2872198845,-101.787219884483,-0.069849809687985
"baby74","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",12574.17,0.5,0,9986.20878834202,2587.96121165798,1.77594592247777
"baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3295.67,-0.5,-1,4959.18198096311,-1663.51198096311,-1.14155780476002
"baby78","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5736.33,0.5,0,4865.10354942065,871.226450579346,0.597864858055553
"baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Novel",5031.5,-0.5,-1,6932.21347847263,-1900.71347847263,-1.30433344081284
"baby79","Wisconsin","Santolin & Saffran (2019)",1,2,3,"Familiar",9209.67,0.5,0,6838.13504693017,2371.53495306983,1.6274269532887
"baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4039.33,-0.5,-1,4993.83631640428,-954.506316404285,-0.655014299658483
"baby84","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4202.83,0.5,0,4271.8342150178,-69.0042150178033,-0.0473530104479955
"baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5223.17,-0.5,-1,4852.37132162627,370.798678373729,0.25445450957748
"baby86","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3526.83,0.5,0,4758.29289008381,-1231.46289008381,-0.845071204496891
"baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",7439.83,-0.5,-1,6944.89819117189,494.931808828111,0.339638833779011
"baby88","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",6834.83,0.5,0,6850.81975962943,-15.9897596294304,-0.0109727102119487
"baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4049,-0.5,-1,4944.7905281861,-895.790528186102,-0.614721553306096
"baby93","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4063.67,0.5,0,4222.78842679962,-159.11842679962,-0.109192409837095
"baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5295.83,-0.5,-1,5834.43620538521,-538.606205385212,-0.369609671878462
"baby94","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",5165.67,0.5,0,5112.43410399873,53.2358960012698,0.0365322602236129
"baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",7692.5,-0.5,-1,9093.80366583201,-1401.30366583201,-0.961621650385231
"baby97","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",12255.67,0.5,0,8999.72523428955,3255.94476571045,2.23433867726783
"baby98","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",4299.67,-0.5,-1,5043.64720225318,-743.977202253178,-0.510542149088659
