"term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"(Intercept)",6966.91484968237,656.431510371032,5747.5,8226.8,"[5747.5, 8226.8]",107.76448979056,1,8.18531085569002,5.41113980862367e-06
"item_center",-1416.12148835677,435.415623418314,-2214.8,-551.6,"[-2214.8, -551.6]",10.5777429587489,1,98.9999999999977,0.00156563235298499
"hpp",-196.728348625374,238.895274475489,-664.6,254.4,"[-664.6, 254.4]",0.632412642530227,1,96.9496634717229,0.42841436999642
"item_center:hpp",677.837028778559,211.269132465796,303.2,1087.8,"[303.2, 1087.8]",10.2938653116467,1,98.9999999999977,0.00179889973047444
