"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p"
"(Intercept)",96.4847753711934,1,8.50421805263414,6865.50374586767,682.931338101251,5632.83494903453,8158.33416292932,"[5632.8, 8158.3]",6.27951754844995e-06
"ItemCenter",10.8789948491835,1,97.9999999999994,-1491.114435,452.081347658664,-2356.24056971766,-509.212752744008,"[-2356.2, -509.2]",0.00135622773195586
"HPP",0.271698553700727,1,95.8776240642219,-137.678939839139,254.998620762521,-613.822451669329,351.039187299997,"[-613.8, 351]",0.603396544790553
"ItemCenter:HPP",10.4251926518183,1,97.9999999999994,726.219575,224.918876960311,246.439179975208,1131.18621770703,"[246.4, 1131.2]",0.00169175581826674
