"term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"(Intercept)",7301.91325863126,1009.8923007337,5253.3,9362.1,"[5253.3, 9362.1]",48.8571582233649,1,23.9387092002162,3.20110384330087e-07
"item",-1783.66831202047,726.685149414193,-3199.6,-360.7,"[-3199.6, -360.7]",6.0247027416063,1,77.9999999999983,0.0163344768082556
"hpp",-261.337645660059,586.815087094015,-1449.8,991.7,"[-1449.8, 991.7]",0.185591837326244,1,106.961951330605,0.667477997047834
"item:hpp",969.495920716118,481.787562678059,38.3,2010.4,"[38.3, 2010.4]",4.04930792171013,1,77.9999999999983,0.047641601454612
