"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p"
"(Intercept)",69.2244241764963,1,5.088893319319,6465.04559184837,752.595773850575,5808.29427176144,8559.08287878945,"5808.29, 8559.08",0.000376308472475223
"Item_Novel",11.564573461403,1,99.999999999998,-1398.7745739337,411.322929032577,-2190.22403187451,-606.614296266201,"-2190.22, -606.61",0.000967236299643455
"HPP",0.018794226874517,1,136.770018518344,33.3964553196186,237.102315532948,-742.781552045215,109.058931249451,"-742.78, 109.06",0.891159650635452
"Item_Novel:HPP",11.9918385650506,1,99.9999999999986,667.113018540508,192.644462194963,335.522089999509,1034.98236976691,"335.52, 1034.98",0.000787854315344156
