"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p"
"(Intercept)",91.4157972509111,1,4.35847000200879,7164.4328788118,723.950109359915,5762.65591143548,8598.48373616487,"5762.66, 8598.48",0.000436637354096508
"ItemC",11.5645734614307,1,99.9999999999986,-1398.77457393369,411.322929032081,-2207.67805031472,-608.023482321688,"-2207.68, -608.02",0.000967236299630516
"HPP",1.79954738363527,1,99.0405049138418,-300.16005395013,216.655338793256,-736.367313458681,104.751444273738,"-736.37, 104.75",0.182835146488204
"ItemC:HPP",11.9918385650794,1,99.9999999999986,667.113018540506,192.644462194731,283.343451917069,1030.06106779975,"283.34, 1030.06",0.000787854315333291
