"term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"(Intercept)",7678.98288302365,673.287074346946,6389.7,9294.6,"[6389.7, 9294.6]",124.637663492683,1,9.05956820700224,1.34418907535922e-06
"item",-1398.77457393368,411.323885661136,-2204.9,-589.1,"[-2204.9, -589.1]",11.5645196692998,1,100.000000000002,0.000967261355267974
"hpp",-539.666798373676,238.687775581809,-999.9,-74.7,"[-999.9, -74.7]",4.80024055535938,1,133.117472834405,0.0301961429338243
"item:hpp",667.1130185405,192.644910235131,247.2,1028.5,"[247.2, 1028.5]",11.9917827855427,1,100.000000000001,0.000787875350716037
