"Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid"
"baby50996","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Familiar",6541,-0.5,-1,6405.97018929345,135.029810706547,0.0952035559555432
"baby50996","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",4770.83,0.5,0,5667.68572971525,-896.855729715252,-0.63233336550812
"baby51010","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",7654.67,-0.5,-1,7595.27606079591,59.3939392040911,0.0418760434073736
"baby51010","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",6785.17,0.5,0,6856.99160121771,-71.8216012177081,-0.0506382390271339
"baby51274","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Familiar",3580.25,-0.5,-1,5177.85611375576,-1597.60611375576,-1.12640151274751
"baby51274","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",4501.5,0.5,0,4439.57165417756,61.92834582244,0.0436629415822399
"baby51689","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Familiar",7520.67,-0.5,-1,6885.67183311764,634.998166882357,0.447709162859105
"baby51689","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",5052.83,0.5,0,6147.38737353944,-1094.55737353944,-0.771724063101734
"baby52110","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",8974.83,-0.5,-1,10036.4858513404,-1061.65585134036,-0.748526652890518
"baby52110","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",11885.67,0.5,0,9298.20139176216,2587.46860823784,1.82430984046131
"baby53657","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Familiar",9755.17,-0.5,-1,7937.7174936006,1817.4525063994,1.28140549471382
"baby53657","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,3,"Novel",5585.33,0.5,0,7199.4330340224,-1614.1030340224,-1.13803276264322
"baby53858","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",5321.17,-0.5,-1,5681.54150903035,-360.371509030354,-0.254082035257502
"baby53858","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",4085.33,0.5,0,4943.25704945215,-857.927049452153,-0.604886472334599
"baby53918","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",8838.67,-0.5,-1,7425.51155504757,1413.15844495243,0.996355607581053
"baby53918","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5154.67,0.5,0,6687.22709546937,-1532.55709546937,-1.08053832283502
