"term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"(Intercept)",6258.85410543107,691.591656423536,4865.9,7571,"[4865.9, 7571]",78.692141793257,1,10.0749351980324,4.47463222843369e-06
"item_novel",-1416.12148835676,435.415623415869,-2354.3,-579.5,"[-2354.3, -579.5]",10.5777429588677,1,99.0000000000017,0.00156563235289417
"hpp",142.190165782527,261.207989447648,-336.3,685.5,"[-336.3, 685.5]",0.27942411336185,1,133.567259602411,0.597956186194104
"item_novel:hpp",677.837028778556,211.269132464609,255.9,1138.9,"[255.9, 1138.9]",10.2938653117623,1,99.000000000001,0.00179889973037251
