"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p"
"(Intercept)",83.4014131223969,1,9.06450180408651,6280.3343774593,673.142827128162,4790.32623115134,7691.78861200004,"[4790.3, 7691.8]",7.21332837411272e-06
"ItemNovel",11.5654404176362,1,100.000000000003,-1398.77457393369,411.307512167876,-2236.23232654197,-726.468548566672,"[-2236.2, -726.5]",0.000966832575484892
"HPP",0.267531292543862,1,133.099687631508,127.408394541632,238.691334256022,-369.475792145226,640.510270758896,"[-369.5, 640.5]",0.605851127913722
"ItemNovel:HPP",11.9927375518768,1,100.000000000002,667.113018540506,192.637241655092,354.061807142986,1057.97346008568,"[354.1, 1058]",0.000787515372308518
