"Model","Participant","Location","Study","HPPprior","HPP","totalStudies","Item","LookingTime","LogLookingTime","ItemCenter","ItemNovel",".fitted",".resid",".scresid",".fittedExp"
"Raw","baby54916","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",9547.33,9.16401681323285,-0.5,-1,8819.42610990067,727.903890099327,0.555598484544913,Inf
"Raw","baby54916","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7556.67,8.93018589594497,0.5,0,7780.25741911073,-223.587419110726,-0.170661034940033,Inf
"Raw","baby54953","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",9747,9.18471482433721,-0.5,-1,8779.60330734352,967.396692656484,0.738399868038018,Inf
"Raw","baby54953","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7256,8.88958399179497,0.5,0,7740.43461655357,-484.434616553568,-0.369761918405919,Inf
"Raw","baby54965","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",9526.5,9.16183266791114,-0.5,-1,8727.88492109181,798.615078908189,0.609571309634791,Inf
"Raw","baby54965","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7345.33,8.90182001612153,0.5,0,7688.71623030186,-343.386230301864,-0.262101730412888,Inf
"Raw","baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Familiar",5160.83,8.54885269825338,-0.5,-1,6073.44944849237,-912.619448492374,-0.696589191849746,Inf
"Raw","baby55012","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",1,2,2,"Novel",6029.5,8.70441936754365,0.5,0,5737.94590044379,291.554099556211,0.222539016592127,Inf
"Raw","baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Familiar",8689,9.06981313683921,-0.5,-1,8493.08810007412,195.911899925883,0.149536712447411,Inf
"Raw","baby55015","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,2,"Novel",7587.33,8.93423502984492,0.5,0,7453.91940928417,133.41059071583,0.101830369410228,Inf
"Raw","baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",6477.67,8.77611615678505,-0.5,-1,6880.20151088145,-402.531510881446,-0.307246465459592,Inf
"Raw","baby55348","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5708,8.64962397859673,0.5,0,5841.0328200915,-133.032820091499,-0.101542022570434,Inf
"Raw","baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",4452.5,8.40122101516382,-0.5,-1,6662.22489537948,-2209.72489537948,-1.68665097114191,Inf
"Raw","baby55503","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",7180.33,8.87910062198888,0.5,0,5623.05620458953,1557.27379541047,1.18864450722127,Inf
"Raw","baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",13596.67,9.51758018880159,-0.5,-1,10894.6830367441,2701.98696325589,2.06238746964278,Inf
"Raw","baby55547","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",8770.67,9.07916847925544,0.5,0,9855.51434595416,-1084.84434595416,-0.828045958783103,Inf
"Raw","baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Familiar",9924.17,9.20272847485441,-0.5,-1,7997.14437987146,1927.02562012854,1.47087071354508,Inf
"Raw","baby56526","Barcelona","Santolin, Saffran &
Sebastian-Galles (2019)",0,1,1,"Novel",5094.33,8.53588343553772,0.5,0,6957.97568908151,-1863.64568908151,-1.42249373119994,Inf
"Raw","baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",8213.83,9.01357459793028,-0.5,-1,6494.35362862372,1719.47637137628,1.31245138148263,Inf
"Raw","baby10","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",6076.66,8.71221048191129,0.5,0,7266.58858074985,-1189.92858074985,-0.908255231457937,Inf
"Raw","baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3963.33,8.28483985997347,-0.5,-1,5687.00041176934,-1723.67041176934,-1.31565263170014,Inf
"Raw","baby11","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",7730.33,8.95290683148525,0.5,0,6040.30550104752,1690.02449895248,1.28997119432024,Inf
"Raw","baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",7185.5,8.8798203855143,-0.5,-1,6163.82524389283,1021.67475610717,0.779829526825965,Inf
"Raw","baby15","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",5717.5,8.65128692589694,0.5,0,6517.130333171,-799.630333171003,-0.610346238492185,Inf
"Raw","baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",4622,8.43858279083433,-0.5,-1,5562.21309710286,-940.213097102859,-0.717651023720103,Inf
"Raw","baby23","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",6755.17,8.81806341662093,0.5,0,5915.51818638103,839.651813618966,0.640894054197769,Inf
"Raw","baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3221,8.0774471493312,-0.5,-1,3551.61017657109,-330.610176571092,-0.252349953855803,Inf
"Raw","baby25","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3606,8.19035440376326,0.5,0,4323.84512869722,-717.845128697222,-0.547920777820958,Inf
"Raw","baby28","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Familiar",5842.83,8.67297054748802,-0.5,-1,5454.6061008315,388.223899168497,0.296325672902642,Inf
"Raw","baby28","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",6909,8.8405801884888,0.5,0,7064.70077865355,-155.700778653548,-0.118844146650418,Inf
"Raw","baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Familiar",3823.33,8.24887704961534,-0.5,-1,3983.03394742119,-159.703947421192,-0.121899707323925,Inf
"Raw","baby30","Wisconsin","Santolin & Saffran (2019)",0,1,1,"Novel",3548.67,8.17432816438408,0.5,0,4336.33903669937,-787.669036699366,-0.601216354336837,Inf
"Raw","baby31","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Familiar",3233.33,8.081267844895,-0.5,-1,4028.1493703824,-794.819370382401,-0.606674100355672,Inf
"Raw","baby31","Wisconsin","Santolin & Saffran (2019)",3,4,4,"Novel",5900.67,8.68282118276847,0.5,0,5638.24404820445,262.425951795554,0.200305923771022,Inf
"Raw","baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3990.25,8.29160916456267,-0.5,-1,4513.46885813728,-523.218858137276,-0.399365367626655,Inf
"Raw","baby39","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",5276.25,8.57097089709671,0.5,0,5285.70381026341,-9.45381026340692,-0.0072159562917122,Inf
"Raw","baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9794.33,9.18955892579306,-0.5,-1,8367.27523281115,1427.05476718885,1.08925021118451,Inf
"Raw","baby49","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",9246.33,9.13198199502093,0.5,0,9139.51018493728,106.819815062718,0.0815340159263543,Inf
"Raw","baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",5418.5,8.59757430336305,-0.5,-1,5835.3099034132,-416.809903413205,-0.318144955439223,Inf
"Raw","baby53","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",7200.5,8.88190574703744,0.5,0,6607.54485553934,592.955144460665,0.452594063785674,Inf
"Raw","baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",9212.5,9.12831653649759,-0.5,-1,9889.21994665919,-676.719946659188,-0.51653052269559,Inf
"Raw","baby54","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",13688.17,9.52428723513255,0.5,0,10661.4548987853,3026.71510121468,2.31024774871667,Inf
"Raw","baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Familiar",3677.67,8.21003467846358,-0.5,-1,3542.54161757293,135.128382427073,0.103141534915059,Inf
"Raw","baby58","Wisconsin","Santolin & Saffran (2019)",1,2,2,"Novel",3126.33,8.04761507162851,0.5,0,4314.77656969906,-1188.44656969906,-0.907124033912354,Inf
