"term","estimate","std_error","ci1","ci2","ci95","f","df","df_res","p"
"(Intercept)",6119.990106038,719.292472119299,4776.1,7676.5,"[4776.1, 7676.5]",69.4222818310258,1,10.4611819025331,6.15427434317328e-06
"item_novel",-1491.11443499998,452.097119587267,-2425.5,-536.9,"[-2425.5, -536.9]",10.8782358098985,1,97.9999999999955,0.00135672755033931
"hpp",225.417700138939,278.688467684957,-353.1,737.4,"[-353.1, 737.4]",0.616585760177827,1,131.919900871131,0.433726836179765
"item_novel:hpp",726.219574999988,224.926723788072,259.6,1147.1,"[259.6, 1147.1]",10.4244652748055,1,97.9999999999961,0.00169235746994041
