"Term","F","Df","Df.res","Coefficient","SEM","ci1","ci2","CI95","p"
"(Intercept)",77.5743337711969,1,11.2923782405958,6795.08453893283,748.709300312737,5293.15800980005,8290.16792520335,"[5293.2, 8290.2]",2.14823136979942e-06
"ItemCenter",6.4305807466885,1,91.9999999999992,-1349.9257712305,532.334717328936,-2363.89743214846,-317.217019397511,"[-2363.9, -317.2]",0.0129034938447821
"HPP",0.0547001913801186,1,89.1947964984908,-81.8787381903944,335.838406366827,-723.22062617012,614.275200905579,"[-723.2, 614.3]",0.815613555112043
"ItemCenter:HPP",4.55897268777632,1,91.9999999999998,627.92366984402,294.0853287458,37.5821332806249,1198.85878452623,"[37.6, 1198.9]",0.0354037878407382
